epoch,step,test_dec_cross_entropy,test_dec_self_entropy,test_enc_self_entropy,test_loss,test_mae,test_r2,test_rmse,train_dec_cross_entropy,train_dec_self_entropy,train_enc_self_entropy,train_loss,train_mae,train_r2,train_rmse,val_dec_cross_entropy,val_dec_self_entropy,val_enc_self_entropy,val_loss,val_mae,val_r2,val_rmse
79,5119,,,,,,,,1.8222395181655884,0.0,1.8045127391815186,1.058324933052063,0.8155531287193298,0.8965442776679993,1.0238656997680664,,,,,,,
80,5183,,,,,,,,,,,,,,,1.8118852376937866,0.0,1.8226218223571777,1.0360032320022583,0.7959242463111877,0.8920964598655701,1.012986421585083
80,5183,,,,,,,,1.8250088691711426,0.0,1.8110142946243286,1.0307269096374512,0.8019686341285706,0.8984516263008118,1.0072884559631348,,,,,,,
81,5247,,,,,,,,,,,,,,,1.8059358596801758,0.0,1.8054380416870117,1.0453824996948242,0.8038846850395203,0.8906598091125488,1.0177923440933228
81,5247,,,,,,,,1.819037675857544,0.0,1.7992961406707764,1.0209455490112305,0.7994885444641113,0.9016467928886414,1.0048937797546387,,,,,,,
82,5311,,,,,,,,,,,,,,,1.8233642578125,0.0,1.81252121925354,1.0284277200698853,0.7969844937324524,0.8916935920715332,1.0085564851760864
82,5311,,,,,,,,1.8110090494155884,0.0,1.8058325052261353,1.0289795398712158,0.8022351264953613,0.9009990692138672,1.0091023445129395,,,,,,,
83,5375,,,,,,,,,,,,,,,1.8206065893173218,0.0,1.8034533262252808,1.13539457321167,0.8283051252365112,0.8823839426040649,1.0598493814468384
83,5375,,,,,,,,1.821568250656128,0.0,1.7834552526474,1.029046893119812,0.8015248775482178,0.9000617861747742,1.0097016096115112,,,,,,,
84,5439,,,,,,,,,,,,,,,1.8067556619644165,0.0,1.810327172279358,1.049758791923523,0.7952694892883301,0.8908510804176331,1.0192482471466064
